titulo,autor,categoria
Duna,Frank Herbert,Ficção Científica
Messias de Duna,Frank Herbert,Ficção Científica
Fundação,Isaac Asimov,Ficção Científica
Eu Robô,Isaac Asimov,Ficção Científica
Neuromancer,William Gibson,Ficção Científica
1984,George Orwell,Ficção
A Revolução dos Bichos,George Orwell,Ficção
Admirável Mundo Novo,Aldous Huxley,Ficção
Drácula,Bram Stoker,Terror
Frankenstein,Mary Shelley,Terror
O Iluminado,Stephen King,Terror
It,Stephen King,Terror
Misery,Stephen King,Terror
Carrie,Stephen King,Terror
O Hobbit,J.R.R. Tolkien,Fantasia
O Senhor dos Anéis,J.R.R. Tolkien,Fantasia
O Silmarillion,J.R.R. Tolkien,Fantasia
Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia
Harry Potter e a Câmara Secreta,J.K. Rowling,Fantasia
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling,Fantasia
Dom Casmurro,Machado de Assis,Romance
Memórias Póstumas de Brás Cubas,Machado de Assis,Romance
Orgulho e Preconceito,Jane Austen,Romance
Jane Eyre,Charlotte Brontë,Romance
O Morro dos Ventos Uivantes,Emily Brontë,Romance
O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil
Pinóquio,Carlo Collodi,Infantil
As Crônicas de Nárnia,C.S. Lewis,Fantasia
Percy Jackson e o Ladrão de Raios,Rick Riordan,Fantasia
Jogos Vorazes,Suzanne Collins,Aventura